0700      SIN FRAGANCIA                 
0701      AMARIGE FEM                   
0702      ONE UNI                       
0703      DETE                          
0704      C HERRERA MASC                
0705      C HERRERA FEM                 
0706      OPIUM FEM                     
0707      MINOTAURO                     
0708      PALOMA PICASSO                
0709      KENZO M                       
070A      AMOR AMOR MASC                
070B      TE VERDE/TILO/MANZANILLA      
070C      CAMPOS VERDES                 
070D      LAVANDA/GERANIO/NARANJA/MELISA
070M      MANDARINA/FEUILLE             
070V      VAINILLA/LIMON                
070Z      CRHOMO M                      
0710      NARCISE                       
0711      ACQUA FEM.                    
0712      DISSEY F                      
0713      DISSEY M                      
0714      ENVY FEMENINO                 
0715      BE UNI                        
0716      ESCAPE FEMENINO               
0717      OPIUM MASC                    
0718      ACQUA MASC                    
0719      POLO SPORT MASC.              
071A      CODE SP MASC                  
071B      BOUQUET 1B                    
071C      CÍTRICO 1 2083                
071D      VINO CABERNET                 
071E      CEDRON                        
071F      PAR HILL FEM                  
071G      CLEAN AND GO                  
071H      PAR HILL MASC                 
071I      ONE MILLION FEM               
071J      PACO DIS                      
071L      CLAVEL                        
071M      1 MILLON FEM                  
071N      PRINCESA                      
071O      CHROME MASC                   
071P      1 MILLON PACO RABANNE         
071R      ROSSO 1                       
071T      PITANGA                       
071V      VETIVERT                      
0720      POEME FEMENINO                
0721      TOMMY MASCULINO               
0722      PLEASURE                      
0723      ANIMAL FEM                    
0724      ORGANZA FEM                   
0725      TARTIN                        
0726      ETERNITY FEMENINO             
0727      ETERNITY MASCULINO            
0728      COOL WATER FEMENINO           
0729      COOL WATER MASC.              
072A      ANTISEPTICO                   
072B      BENJUI/LIMON/RUDA             
072C      CHICLE                        
072D      DIAMONT M                     
072F      FRESI/LILA/COCO               
072H      HOMME GIV M                   
072M      MARINA/MANZANA                
072P      POISON TENDRE FEM             
072V      VAINILLA OPCION 2             
0730      POLO CLASICO MASC.            
0731      PÒLO SPORT FEMENINO           
0732      CABOTINE FEM                  
0733      PARIS FEM                     
0734      TRESSOR                       
0735      CHANEL Nº5 FEM                
0736      EDEN FEM.                     
0737      EMPORIO ARMANI FEM.           
0738      EMPORIO ARMANI MASC.          
0739      FLORE FEM.                    
073A      ARANDANO                      
073C      CONTRADICTION MASC            
073F      FRUTILLA/MADERAS DE ORIENTE/LA
073M      MARACUYA                      
073P      POLO EXPLORER MASC            
073R      CRAVO                         
073U      MUJERCITAS                    
073V      VERBENA P                     
0740      FAHRENHEIT MASC.              
0741      TOMMY GIRL FEM.               
0742      HALLOWEEN FEM                 
0743      GIORGIO FEM                   
0744      212 CH FEM                    
0745      212 CH MASC                   
0746      5TA AVENIDA FEM               
0747      DOLCE VITA FEM.               
0748      ANGEL FEM                     
0749      JAZZ MASC.                    
074A      ARNICA/MANZANILLA             
074C      CANELA/MANZANA/FRUTILLA       
074F      FLORENCIA                     
074M      MALAS ONDAS                   
074P      PLAY MASC                     
074V      MUJERCITAS                    
0750      AZZARO MASC                   
0751      RED DOOR FEM.                 
0752      DONNA KARAN FEM.              
0753      FLOWER FEM.                   
0754      ANAÏS ANAÏS FEM               
0755      XS MASCULINO                  
0756      XS FEMENINO                   
0757      KENZO FEMENINO                
0758      ESCAPE MASCULINO              
0759      LAGUNA FEMENINO               
075A      ALMENDRA/FLORES               
075C      CKIN2U FEM                    
075F      FAN DI FENDI                  
075M      MADERA ANTIGUA                
075P      PLAY FEM                      
0760      MONTANA FEM.                  
0761      MONTANA MASC.                 
0762      LEAU PAR KENZO FEM           
0763      ROMANCE FEMENINO              
0764      ROMANCE MASCULINO             
0765      ARMANI MASC                   
0766      BULGARY FEM                   
0767      BULGARY MASC                  
0768      SAMSARA FEMENINO              
0769      HUGO BOSS MASC                
076A      ARRAYAN 6                     
076C      CKIN2U MASC                   
076M      MADRE SELVA                   
076P      PALO SANTO                    
0770      GENTLEMAN MASC                
0771      ANGEL MASC                    
0772      PACO RABANNE M                
0773      SENSI FEMENINO                
0774      INCENSE MASCULINO             
0775      POLO BLUE MASCULINO           
0776      HOT FEM                       
0777      AMOR AMOR FEM                 
0778      VERY IRRESISTIBLE             
0779      CHIC FEM                      
077A      AUTO NUEVO                    
077C      CANELA LIMON                  
077M      MENTOL/ALCANFORT/EUCALIPTO    
077P      7 PODERES                     
0780      CHIC MASC                     
0781      212 SEXY FEM; GDY GENTLEMAN MA
0782      BLACK CODE MASC; GDY ACQUA MAS
0783      NOA FEM; GDY HUGO BOSS MASC   
0784      RALPH FEM                     
0785      POLO BLUE MASC/ARMANI MANIA FE
0786      MANIA MASC; GDY CHIC MASC     
0787      INCENSE MASC GREIDY/JADORE FE
0788      EUPHORIA FEM                  
0789      HIGHER MASC                   
078C      CITRICO MAZZA                 
078M      CANELA/MAGNOLIA/VIOLETA       
078P      POLEN                         
0790      RALPH BLUE FEM                
0791      BRIT FEM                      
0792      D GABANNA FEM                 
0793      D GABANA MASC                 
0794      212 SEXY MASC                 
0795      VERY IRRESISTIBLE MASC; GDY PE
0796      AMOUR FEM; CARTUCHERA         
0797      BE DELICIOUS FEM; GDY TARTÍN I
0798      POLO BLACK MASC               
0799      CODE FEM                      
079C      C H MASC NUEVO                
079M      MEJI                          
079P      PETIT/SALVIA                  
07A0      CAMPOS DE ALGODON             
07A1      ALMIZCLE                      
07A2      AMBRÉ                         
07A3      ALMENDRA/MIEL                 
07A4      AQUA FLORE                    
07A5      ADDICT FEM                    
07A6      ALLURE FEM                    
07A7      ALLURE MASC                   
07A8      ADVANC (FANTASIA)             
07A9      ATTITUDE MASC                 
07AA      AMOR AMOR MASC                
07AB      ALBAHACA                      
07AC      ALCANFOR                      
07AD      ADONIS                        
07AE      ADRENALINA                    
07AF      AFRODISÍACA                   
07AG      ALGAS; AGUA MARINA            
07AH      AQUA DI GIOIA FEM             
07AI      ARIEL                         
07AJ      ANANA                         
07AK      AGUA                          
07AL      ALMENDRA                      
07AM      AMBAR                         
07AN      ANTITABACO; ANTIPARASITARIO   
07AO      ALGODÓN                       
07AP      APRICOT                       
07AQ      ALBA FLORAL                   
07AR      ARPEGIO                       
07AS      ARAUCARIA                     
07AT      ATRAE DINERO; ANTITABACO MK   
07AU      AUDACIA                       
07AV      ALOE VERA                     
07AW      ARMANI WITHE FEM              
07AX      AURA                          
07AY      ANGEL Y DEMONIO FEM           
07AZ      AZAHAR                        
07AÑ      ANIS                          
07B1      BOUCHERON FEM                 
07B2      BOUCHERON MASC                
07B3      BOUQUET 21                    
07B4      BAMBOO                        
07B5      MILK                          
07B6      CHAMPAGNE FEM.                
07B7      BOSQUES LAS MARIAS            
07B8      BASE SOL                      
07B9      BRIT MASC                     
07BA      BANANA/BALLENA                
07BB      BEBÉ; ADV BEBÉ                
07BC      BE DELICIOUS MASC             
07BD      BANANA-DURAZNO                
07BE      BERGAMOTA                     
07BG      BIG EGO                       
07BH      BRABSH                        
07BI      BRILLO                        
07BL      BELEZA                        
07BM      BRISA DEL MAR                 
07BN      BENJUI                        
07BO      BOUCHERON MASC                
07BP      BOSQUES PATAGÓNICOS           
07BQ      BLU MASC                      
07BR      BRISAS                        
07BS      BESAME MUCHO                  
07BT      AFTER 8                       
07BU      BOUQUET FLORAL; BURBERRY MASC 
07BV      BLUE LAVEL MASC               
07BW      BOSS MASC NO TRADICIONAL      
07BX      BOSQUES                       
07BY      BOYS; ADV BOYS                
07BZ      AFTER 8                       
07C0      CLASICA                       
07C1      CHICOS                        
07C2      CHICAS                        
07C3      CAFÉ-CERAMIDAS                
07C4      CARICIAS                      
07C5      COCO ANANÁ                    
07C6      COCO/NARANJA                  
07C7      CITRUS/NARANJA                
07C8      CHOCOLATE                     
07C9      CANELA/MELÓN                  
07CA      CANELA                        
07CB      COLBERT                       
07CC      CIRCULATORIO                  
07CD      CHANDAN                       
07CE      CEDRO                         
07CF      CONFORT; CARIBE FRUIT         
07CG      CONY                          
07CH      CHERRY; CHARLY                
07CI      CITRONELA                     
07CJ      CHOCOLATE/MENTA               
07CK      CHEEKY                        
07CL      CALÉNDULA; CLAVO DE OLOR      
07CM      COCO/MELÓN; COOL MEN;CANELA/MA
07CN      COLONIA                       
07CO      COCO                          
07CP      CHOCOLATE LECHE               
07CQ      CARAMELO                      
07CR      CRISTAL/CRANDAL               
07CS      COCO FRESH                    
07CT      CITRUS                        
07CU      CUERO; CUADRADO               
07CV      COCO/VAINILLA                 
07CW      C H FEM                       
07CX      CREPUSCULO                    
07CY      CANTILENA/ CAMELIA            
07CZ      CIRUELO; CHIC                 
07CÑ      COCO NEW                      
07D1      DUNE FEM                      
07D2      DANIELA                       
07D3      DUNE MASC                     
07D4      COOL WATER DEEP MASC          
07D5      DELICIAS/LAVANDA              
07D6      DURAZNO/POMELO                
07D7      DRAZNO-PAPAYA                 
07D8      DURAZNO/PAPAYA                
07D9      DURAZNO/MUGUET                
07DA      DANZARIN                      
07DB      DOVE                          
07DD      DUENDE FEM                    
07DE      DESCONTRACTURANTE             
07DG      DOLCE GABANNA                 
07DH      DIOR HOMME                    
07DI      DRIVE; DISCO                  
07DK      DRAKAR MASC                   
07DM      DIAMOND FEM                   
07DN      DURAZNO NARANJA               
07DO      DOREE 1805 BP/DOVE/DORADO     
07DP      DOREE PLUS 1805 HP            
07DR      DREAM; DREZER                 
07DS      DULCES SUEÑOS                 
07DT      DEDITOS                       
07DU      DURAZNO                       
07DV      DURAZNO/VAINILLA              
07DX      DIAMON MASC                   
07E1      ENEBRO/EUCALIPTO              
07E2      EUPHORIA MASC.                
07E3      ESENCIA DUENDE                
07E4      MALBEC                        
07E5      CABERNET                      
07E6      MOSCATEL                      
07EA      EAU SAUVAGE MASC              
07EB      ENEBRO                        
07EC      ECHO MASC; ECO SUAVE          
07ED      ESPIRITUALIDAD                
07EE      ENERGIA; ESCADA               
07EF      EUFORIZANTE/EUCAFRESH         
07EG      ENERGIZANTE                   
07EH      ECHO FEM                      
07EI      ENRIQUECIDA                   
07EJ      ENDLESS  LOVE                 
07EK      ESENCIA DUENDE                
07EL      ETER LOV FEM                  
07EM      EUCALIPTO/MENTA               
07EN      ENGRIMPE/ENEBRO               
07EO      EOLOS                         
07EP      EUCALIPTO/PINO                
07EQ      EQUILIBRIO                    
07ER      EROS                          
07ES      ESTRELLA; ESPANTAPAJAROS      
07ET      ESPADOL                       
07EU      EUCALIPTUS                    
07EV      EXTRACTOS VEGETALES           
07EW      EMPORIO WITHE MASC            
07EX      EXTRAVAGANCE FEM              
07F1      FRUTOS NEGROS                 
07F2      FRUTOS ROJOS                  
07F3      FLOR DE LOTO                  
07F4      FEUILLE                       
07F5      FRESHLY                       
07F6      FLORES BLANCAS/RETAMA         
07F7      FRESCA VERDE                  
07F8      FLORES INDIA                  
07F9      FLORES                        
07FA      FANTASIA                      
07FB      FRUTOS DEL BOSQUE             
07FC      FRESCA CARICIA                
07FD      FENDI F                       
07FE      FRESIA                        
07FF      FRUTILLA FRAMBUESA; FREEDOM   
07FG      FRESIA/GERANIO                
07FH      FLORES LAS MARIAS             
07FI      FIESTA/FIRST                  
07FJ      FAHRENHEIT 32 MASC            
07FK      FLORES Y FRUTOS               
07FL      FLORAL; FLAIT                 
07FM      FRAMBUESA                     
07FN      FLORES BLANCAS                
07FO      FORTALECEDOR/FOREST           
07FP      FLORAL PERFUMINA 1756 HT      
07FQ      FLOR DE INDIA                 
07FR      FRUTILLA                      
07FS      FRASCOS                       
07FT      FRUTAS TROPICALES             
07FU      FRUTADO                       
07FW      FRUTALIS                      
07FZ      FLOR DE ESPINILLO             
