LIESA     |I23             |ALCOHOL CEREAL                |P      |     8.000|10/31/2013|F  
MAYOL     |IGARR250TECNO   |GARRAFITA X 250 P/TECNOTAP    |P      |     1.800|08/23/2013|F  
ORO       |I10CHCC00100000 |AEROPET X 100 CRISTAL BASE PLA|P      |     0.516|03/10/2008|F  
ORO       |I10CHCC00150000 |AEROPET X 150 CRISTAL B/PLANA |P      |     0.894|01/05/2011|F  
GAFOR     |I0671781        |ESSO EXXSOL D40               |P      |     4.410|11/19/2007|F  
GAFOR     |I0671780        |ESSO EXXSOL D60               |P      |     4.650|11/19/2007|F  
KARVEL    |IFCO.COLIRIOX10 |FCO.COLIRIO X10 C/TAPA E INS  |P      |     0.259|10/19/2007|F  
DROQU     |I010870 BIC.DE S|BICARBONATO DE SODIO G.S.     |U      |     0.850|06/01/2011|F  
DROQU     |I010200 ACI.C.AN|ACIDO CITRICO ANHIDRO         |U      |     2.750|06/01/2011|F  
DROQU     |I011734 DIOX.TIT|DIOXIDO DE TITANIO "A"        |U      |     6.950|11/16/2010|F  
CRISTAL   |IM3060/0-I      |FCO BELL IMP.BATTIDO EXPRESS  |P      |     0.930|11/05/2007|F  
INTEC     |I21             |MANTECA DE CACAO OR.BRASIL    |U      |     9.000|09/10/2012|F  
INTEC     |I57             |ACEITE VEG.HID.SUPERSOCOLATE  |U      |     3.600|11/16/2010|F  
NHP       |I122801.10.02.00|FCO BETA X 100 EN 20          |P      |     1.566|04/11/2014|F  
NHP       |I123802.01.01.00|TAPA CIEGA 24/410 TRANSP.     |P      |     0.390|11/15/2013|F  
PLUSTEC   |ISTP-038KX      |BIDON X 100 C/TAPA            |U      |    17.530|11/05/2007|F  
NOVAP     |ICAJA CART.CORRU|CAJA 40X30X30                 |P      |     2.850|10/03/2011|F  
NOVAP     |I CJA.CART.CORRU|CAJA 40X30X20                 |P      |     2.400|04/20/2011|F  
SERAIN J  |ILYS0061        |ARKOPAL N/100 1.000           |P      |    15.430|08/19/2008|F  
SERAIN J  |ILYS0277        |VASELINA LIQUIDA  COS 180     |P      |    16.880|03/21/2011|F  
PERF      |IRED D F        |RED DOOR FEM                  |U      |   123.000|09/04/2008|F  
PERF      |I CAB FEM       |CABOTINE FEM.                 |U      |   123.000|09/09/2008|F  
